 Eigenvectors and eigenvalues of the dynamical matrix
 ----------------------------------------------------
 
 
   1 f  =    7.478758 THz    46.990420 2PiTHz  249.464502 cm-1    30.929642 meV
             X         Y         Z           dx          dy          dz
      4.075984  2.788024 13.259029     0.029379   -0.000000    0.035880  
      4.839461  0.929341 11.777088    -0.029675    0.000000   -0.044648  
     13.741567  2.788024 13.259193     0.032668    0.000000   -0.049623  
      8.907040  0.929341 12.370505    -0.027436   -0.000000    0.003118  
      0.005627  2.788024 12.664576     0.026895    0.000000    0.001782  
     14.311903  2.788024 10.580802     0.001948    0.000000   -0.009056  
      5.409563  0.929341 14.455386    -0.001599    0.000000   -0.008200  
     10.693180  0.929341 10.562509     0.010762    0.000000    0.006598  
      1.790519  2.788024 14.473367    -0.009844   -0.000000    0.005461  
      3.506921  2.788024 10.580402     0.003693   -0.000000    0.012420  
     12.408767  0.929341 14.455686    -0.004104   -0.000000    0.013833  
      7.123465  0.929341 10.561065     0.007876   -0.000000   -0.003590  
     16.025723  2.788024 14.474552    -0.008162    0.000000   -0.004118  
      0.007149  0.929341 10.898066     0.004197   -0.000000   -0.000455  
      8.908990  2.788024 14.136629    -0.004656    0.000000   -0.000891  
 
  13 f  =    5.884981 THz    36.976425 2PiTHz  196.301829 cm-1    24.338314 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821    -0.003240   -0.000000   -0.014706  
      6.616854  2.788024 12.594077     0.003814    0.000000   -0.014772  
      2.299255  0.929341 12.441442     0.003510   -0.000000   -0.011380  
     11.201891  2.788024 12.594295    -0.004093   -0.000000   -0.011237  
     12.978330  0.929341 11.777452    -0.004428    0.000000   -0.040283  
      4.075984  2.788024 13.259029     0.006706    0.000000   -0.040438  
      4.839461  0.929341 11.777088     0.010295   -0.000000   -0.033214  
     13.741567  2.788024 13.259193    -0.011669    0.000000   -0.031421  
      8.907040  0.929341 12.370505     0.003062    0.000000    0.027190  
      0.005627  2.788024 12.664576    -0.002366    0.000000    0.031476  
     14.311903  2.788024 10.580802    -0.004430   -0.000000    0.017133  
      5.409563  0.929341 14.455386     0.004196    0.000000    0.017500  
     10.693180  0.929341 10.562509     0.014156    0.000000    0.016167  
      1.790519  2.788024 14.473367    -0.015331    0.000000    0.015258  
      3.506921  2.788024 10.580402     0.004263    0.000000    0.015208  
     12.408767  0.929341 14.455686    -0.004016   -0.000000    0.014952  
      7.123465  0.929341 10.561065    -0.016588    0.000000    0.018184  
     16.025723  2.788024 14.474552     0.017091    0.000000    0.016934  
      0.007149  0.929341 10.898066    -0.000798   -0.000000   -0.007494  
      8.908990  2.788024 14.136629     0.000820   -0.000000   -0.008933  
 
  14 f  =    5.790217 THz    36.381005 2PiTHz  193.140841 cm-1    23.946402 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821    -0.001419   -0.000000    0.007179  
      6.616854  2.788024 12.594077    -0.002450   -0.000000   -0.007462  
      2.299255  0.929341 12.441442    -0.002127   -0.000000   -0.004138  
     11.201891  2.788024 12.594295    -0.002584   -0.000000    0.005048  
     12.978330  0.929341 11.777452     0.014042   -0.000000    0.035504  
      4.075984  2.788024 13.259029     0.014821    0.000000   -0.034771  
      4.839461  0.929341 11.777088     0.018033    0.000000   -0.030123  
     13.741567  2.788024 13.259193     0.019155    0.000000    0.029769  
      8.907040  0.929341 12.370505     0.054847    0.000000    0.001368  
      0.005627  2.788024 12.664576     0.056601    0.000000   -0.002371  
     14.311903  2.788024 10.580802     0.001759    0.000000   -0.012378  
      5.409563  0.929341 14.455386     0.001500   -0.000000    0.011774  
     10.693180  0.929341 10.562509    -0.019775    0.000000   -0.003027  
      1.790519  2.788024 14.473367    -0.019500    0.000000    0.001638  
      3.506921  2.788024 10.580402     0.002099   -0.000000    0.010374  
     12.408767  0.929341 14.455686     0.001896   -0.000000   -0.010107  
      7.123465  0.929341 10.561065    -0.021098   -0.000000    0.004444  
     16.025723  2.788024 14.474552    -0.021613    0.000000   -0.003755  
      0.007149  0.929341 10.898066     0.002092   -0.000000    0.000381  
      8.908990  2.788024 14.136629     0.004121   -0.000000   -0.000021  
 
  15 f  =    5.476957 THz    34.412734 2PiTHz  182.691613 cm-1    22.650863 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821    -0.014908   -0.000000    0.013901  
      6.616854  2.788024 12.594077     0.016287   -0.000000    0.016296  
      2.299255  0.929341 12.441442    -0.014896   -0.000000   -0.015869  
     11.201891  2.788024 12.594295     0.015211   -0.000000   -0.018138  
     12.978330  0.929341 11.777452     0.020279    0.000000   -0.002652  
      4.075984  2.788024 13.259029    -0.017153    0.000000   -0.007038  
      4.839461  0.929341 11.777088     0.020332    0.000000    0.004834  
     13.741567  2.788024 13.259193    -0.017940    0.000000    0.009649  
      8.907040  0.929341 12.370505     0.003809    0.000000    0.000942  
      0.005627  2.788024 12.664576    -0.002407   -0.000000    0.001405  
     14.311903  2.788024 10.580802    -0.004251   -0.000000    0.005778  
      5.409563  0.929341 14.455386     0.005292   -0.000000    0.006926  
     10.693180  0.929341 10.562509     0.001534   -0.000000    0.019061  
      1.790519  2.788024 14.473367    -0.002597    0.000000    0.017682  
      3.506921  2.788024 10.580402    -0.005224   -0.000000   -0.006585  
     12.408767  0.929341 14.455686     0.006423   -0.000000   -0.007611  
      7.123465  0.929341 10.561065     0.000819    0.000000   -0.016548  
     16.025723  2.788024 14.474552    -0.001411   -0.000000   -0.015526  
      0.007149  0.929341 10.898066     0.033709    0.000000   -0.000238  
      8.908990  2.788024 14.136629    -0.040480   -0.000000   -0.000881  
 
  16 f  =    5.292419 THz    33.253249 2PiTHz  176.536094 cm-1    21.887676 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821     0.000000   -0.002739   -0.000000  
      6.616854  2.788024 12.594077     0.000000   -0.012227    0.000000  
      2.299255  0.929341 12.441442     0.000000   -0.012264    0.000000  
     11.201891  2.788024 12.594295    -0.000000   -0.002768   -0.000000  
     12.978330  0.929341 11.777452    -0.000000    0.016549    0.000000  
      4.075984  2.788024 13.259029    -0.000000    0.075871    0.000000  
      4.839461  0.929341 11.777088    -0.000000    0.075212    0.000000  
     13.741567  2.788024 13.259193     0.000000    0.016336    0.000000  
      8.907040  0.929341 12.370505    -0.000000    0.016074    0.000000  
      0.005627  2.788024 12.664576    -0.000000    0.014788    0.000000  
     14.311903  2.788024 10.580802    -0.000000   -0.005790    0.000000  
      5.409563  0.929341 14.455386     0.000000   -0.026729   -0.000000  
     10.693180  0.929341 10.562509    -0.000000    0.001851    0.000000  
      1.790519  2.788024 14.473367     0.000000    0.006971   -0.000000  
      3.506921  2.788024 10.580402    -0.000000   -0.027084   -0.000000  
     12.408767  0.929341 14.455686     0.000000   -0.005905    0.000000  
      7.123465  0.929341 10.561065    -0.000000    0.006918    0.000000  
     16.025723  2.788024 14.474552     0.000000    0.001855    0.000000  
      0.007149  0.929341 10.898066    -0.000000   -0.004873    0.000000  
      8.908990  2.788024 14.136629     0.000000   -0.005395    0.000000  
 
  17 f  =    5.285473 THz    33.209603 2PiTHz  176.304387 cm-1    21.858948 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821     0.000000    0.012264   -0.000000  
      6.616854  2.788024 12.594077     0.000000   -0.002906    0.000000  
      2.299255  0.929341 12.441442    -0.000000   -0.002917    0.000000  
     11.201891  2.788024 12.594295     0.000000    0.012380    0.000000  
     12.978330  0.929341 11.777452    -0.000000   -0.076285   -0.000000  
      4.075984  2.788024 13.259029     0.000000    0.018569    0.000000  
      4.839461  0.929341 11.777088    -0.000000    0.018461   -0.000000  
     13.741567  2.788024 13.259193     0.000000   -0.075500    0.000000  
      8.907040  0.929341 12.370505     0.000000   -0.009742    0.000000  
      0.005627  2.788024 12.664576    -0.000000   -0.010252    0.000000  
     14.311903  2.788024 10.580802    -0.000000    0.026980    0.000000  
      5.409563  0.929341 14.455386    -0.000000   -0.006607    0.000000  
     10.693180  0.929341 10.562509    -0.000000   -0.006889   -0.000000  
      1.790519  2.788024 14.473367    -0.000000    0.001335   -0.000000  
      3.506921  2.788024 10.580402    -0.000000   -0.006635    0.000000  
     12.408767  0.929341 14.455686    -0.000000    0.027223   -0.000000  
      7.123465  0.929341 10.561065    -0.000000    0.001324    0.000000  
     16.025723  2.788024 14.474552     0.000000   -0.006819   -0.000000  
      0.007149  0.929341 10.898066     0.000000    0.003461    0.000000  
      8.908990  2.788024 14.136629    -0.000000    0.003212   -0.000000  
 
  18 f  =    5.147540 THz    32.342949 2PiTHz  171.703459 cm-1    21.288506 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821     0.007542    0.000000   -0.020393  
