     #Energy           s           p           d       tot  
   -12.07376     0.23188     0.07309     0.03087     0.33584
   -12.06976     0.23774     0.07929     0.03297     0.35000
   -12.06676     0.24343     0.08583     0.03516     0.36442
   -12.06276     0.24807     0.09226     0.03727     0.37760
   -12.05876     0.25094     0.09816     0.03916     0.38826
   -12.05476     0.25160     0.10314     0.04069     0.39543
   -12.05076     0.25000     0.10694     0.04180     0.39874
   -12.04676     0.24642     0.10941     0.04245     0.39828
   -12.04376     0.24143     0.11065     0.04270     0.39478
   -12.03976     0.23579     0.11085     0.04266     0.38929
   -12.03576     0.23035     0.11047     0.04247     0.38329
   -12.03176     0.22587     0.11002     0.04235     0.37825
   -12.02776     0.22296     0.11014     0.04250     0.37560
   -12.02376     0.22202     0.11143     0.04312     0.37658
   -12.01976     0.22309     0.11444     0.04439     0.38192
   -12.01676     0.22604     0.11955     0.04640     0.39199
   -12.01276     0.23048     0.12692     0.04919     0.40659
   -12.00876     0.23591     0.13643     0.05270     0.42504
   -12.00476     0.24170     0.14774     0.05680     0.44624
   -12.00076     0.24727     0.16022     0.06125     0.46874
   -11.99676     0.25210     0.17313     0.06583     0.49106
   -11.99276     0.25585     0.18565     0.07026     0.51176
   -11.98976     0.25839     0.19709     0.07433     0.52980
   -11.98576     0.25978     0.20685     0.07784     0.54447
   -11.98176     0.26030     0.21463     0.08073     0.55566
   -11.97776     0.26038     0.22035     0.08300     0.56373
   -11.97376     0.26049     0.22423     0.08474     0.56946
   -11.96976     0.26111     0.22667     0.08610     0.57388
   -11.96676     0.26259     0.22817     0.08722     0.57798
   -11.96276     0.26508     0.22920     0.08827     0.58255
   -11.95876     0.26853     0.23017     0.08934     0.58804
